month,year,all_accidental_od_deaths,fentanyl_related
January,2020,39,23
February,2020,43,32
March,2020,51,31
April,2020,51,38
May,2020,70,55
June,2020,72,54
July,2020,72,49
August,2020,74,55
September,2020,63,50
October,2020,64,47
November,2020,52,39
December,2020,61,46
January,2021,65,51
February,2021,71,48
March,2021,53,36
April,2021,52,39
May,2021,45,36
June,2021,50,41
July,2021,52,34
August,2021,46,39
September,2021,54,37
October,2021,46,34
November,2021,53,43
December,2021,53,36
January,2022,47,30
February,2022,52,37
March,2022,45,27
April,2022,49,38
